med_group,concept_id
ICS,36248369
ICS,36248462
ICS,36248502
ICS,36248503
ICS,36248515
ICS,36248518
ICS,36248540
ICS,36248800
ICS,36248836
ICS,36248837
ICS,36248883
ICS,36248933
ICS,36248934
ICS,36249053
ICS,36249054
ICS,36249521
ICS,36249525
ICS,36249527
ICS,36249528
ICS,36249529
ICS,36249530
ICS,36249533
ICS,36249535
ICS,36249536
ICS,36249537
ICS,36249538
ICS,36249539
ICS,36249540
ICS,36249541
ICS,36249542
ICS,36249618
ICS,36249620
ICS,36249624
ICS,36249625
ICS,36249627
ICS,36897938
ICS,40221066
ICS,40233982
ICS,40234715
ICS,40234738
ICS,42731729
ICS,43162154
ICS,43272233
ICS,43283022
ICS,43694333
ICS,43869247
ICS,1511378
ICS,42964799
ICS,43637995
ICS,792592
ICS,793580
ICS,1146323
ICS,1355731
ICS,1355737
ICS,1355748
ICS,1510937
ICS,1511380
ICS,1560009
ICS,1560034
ICS,1560042
ICS,37496921
ICS,37499517
ICS,36212158
ICS,36217839
ICS,36218673
ICS,36220935
ICS,36248861
LAMA,35200236
LAMA,35200241
LAMA,35200235
LAMA,35200240
SABA,36215527
SAMA,36224639
SAMA,36233597
SAMA,43184443
Systemic glucocorticoids,904331
Systemic glucocorticoids,904332
Systemic glucocorticoids,904333
Systemic glucocorticoids,904385
Systemic glucocorticoids,904392
Systemic glucocorticoids,904395
Systemic glucocorticoids,904427
Systemic glucocorticoids,904436
Systemic glucocorticoids,904509
Systemic glucocorticoids,920796
Systemic glucocorticoids,920798
Systemic glucocorticoids,920800
Systemic glucocorticoids,920823
Systemic glucocorticoids,920824
Systemic glucocorticoids,920825
Systemic glucocorticoids,920826
Systemic glucocorticoids,920831
Systemic glucocorticoids,920868
Systemic glucocorticoids,920869
Systemic glucocorticoids,920870
Systemic glucocorticoids,920871
Systemic glucocorticoids,920915
Systemic glucocorticoids,1592208
Systemic glucocorticoids,1594365
Systemic glucocorticoids,1594369
Systemic glucocorticoids,1594384
Systemic glucocorticoids,1594386
Systemic glucocorticoids,1594388
Systemic glucocorticoids,1594414
Systemic glucocorticoids,1594496
Systemic glucocorticoids,1594689
Systemic glucocorticoids,1594691
Systemic glucocorticoids,1594694
Systemic glucocorticoids,19005824
Systemic glucocorticoids,19006606
Systemic glucocorticoids,19015780
Systemic glucocorticoids,19015801
Systemic glucocorticoids,19016533
Systemic glucocorticoids,19020402
Systemic glucocorticoids,19021121
Systemic glucocorticoids,19022881
Systemic glucocorticoids,19022882
Systemic glucocorticoids,19027280
Systemic glucocorticoids,19029017
Systemic glucocorticoids,19031961
Systemic glucocorticoids,19032573
Systemic glucocorticoids,19032638
Systemic glucocorticoids,19033819
Systemic glucocorticoids,19033841
Systemic glucocorticoids,19034021
Systemic glucocorticoids,19034027
Systemic glucocorticoids,19035282
Systemic glucocorticoids,19037464
Systemic glucocorticoids,19042519
Systemic glucocorticoids,19043320
Systemic glucocorticoids,19043374
Systemic glucocorticoids,19045921
Systemic glucocorticoids,19047753
Systemic glucocorticoids,19047824
Systemic glucocorticoids,19052272
Systemic glucocorticoids,19052278
Systemic glucocorticoids,19052279
Systemic glucocorticoids,19052715
Systemic glucocorticoids,19053595
Systemic glucocorticoids,19056328
Systemic glucocorticoids,19056330
Systemic glucocorticoids,19056414
Systemic glucocorticoids,19056451
Systemic glucocorticoids,19058164
Systemic glucocorticoids,19059610
Systemic glucocorticoids,19059634
Systemic glucocorticoids,19059688
Systemic glucocorticoids,19060779
Systemic glucocorticoids,19061353
Systemic glucocorticoids,19061357
Systemic glucocorticoids,19061358
Systemic glucocorticoids,19061578
Systemic glucocorticoids,19061653
Systemic glucocorticoids,19061654
Systemic glucocorticoids,19061952
Systemic glucocorticoids,19062339
Systemic glucocorticoids,19062371
Systemic glucocorticoids,19062372
Systemic glucocorticoids,19062373
Systemic glucocorticoids,19063117
Systemic glucocorticoids,19063870
Systemic glucocorticoids,19072647
Systemic glucocorticoids,19072837
Systemic glucocorticoids,19072839
Systemic glucocorticoids,19073069
Systemic glucocorticoids,19074763
Systemic glucocorticoids,19074770
Systemic glucocorticoids,19074792
Systemic glucocorticoids,19076095
Systemic glucocorticoids,19076121
Systemic glucocorticoids,19077782
Systemic glucocorticoids,19079489
Systemic glucocorticoids,19080569
Systemic glucocorticoids,19080591
Systemic glucocorticoids,19080745
Systemic glucocorticoids,19082356
Systemic glucocorticoids,19084748
Systemic glucocorticoids,19084825
Systemic glucocorticoids,19089689
Systemic glucocorticoids,19091880
Systemic glucocorticoids,19093625
Systemic glucocorticoids,19093724
Systemic glucocorticoids,19095979
Systemic glucocorticoids,19097852
Systemic glucocorticoids,19108591
Systemic glucocorticoids,19108592
Systemic glucocorticoids,19108994
Systemic glucocorticoids,19109114
Systemic glucocorticoids,19109785
Systemic glucocorticoids,19109794
Systemic glucocorticoids,19114213
Systemic glucocorticoids,19114227
Systemic glucocorticoids,19115554
Systemic glucocorticoids,19115555
Systemic glucocorticoids,19115584
Systemic glucocorticoids,19115591
Systemic glucocorticoids,19115592
Systemic glucocorticoids,19115593
Systemic glucocorticoids,19115594
